date,temp
2025-01-01,16.52646190437419
2025-01-02,18.728930359975987
2025-01-03,14.378959738574379
2025-01-04,20.84562330950616
2025-01-05,20.35658296770011
2025-01-06,20.25304515520652
2025-01-07,22.037905371304866
2025-01-08,22.252305493629134
2025-01-09,23.649358375553128
2025-01-10,20.50295621752835
2025-01-11,24.470474362807213
2025-01-12,21.106405792473925
2025-01-13,23.51094972064144
2025-01-14,20.41245451303286
2025-01-15,22.00970843402191
2025-01-16,21.904188638198576
2025-01-17,18.91884253703983
2025-01-18,21.35838610392922
2025-01-19,19.77003056308235
2025-01-20,17.408332424666018
2025-01-21,12.506289582540195
2025-01-22,18.07208201968274
2025-01-23,9.823570718754016
2025-01-24,10.899878556690908
2025-01-25,9.583787356285518
2025-01-26,12.847872787612241
2025-01-27,10.228920825166941
2025-01-28,9.59908790382875
2025-01-29,7.92575122094546
2025-01-30,9.275816849558101
2025-01-31,8.349526382211874
2025-02-01,9.829337500010459
2025-02-02,9.38456521227957
2025-02-03,8.98491784363145
2025-02-04,9.855480532790239
2025-02-05,7.668012297899221
2025-02-06,12.604169607225256
2025-02-07,9.937173596655372
2025-02-08,17.498687264053828
2025-02-09,18.535370265821115
2025-02-10,19.681807819693734
2025-02-11,20.635921130624492
2025-02-12,22.13654725029503
2025-02-13,18.421410268402703
2025-02-14,20.113088190295322
2025-02-15,24.075730992448115
2025-02-16,26.35454204487597
2025-02-17,23.33687187625971
2025-02-18,26.78858559809509
2025-02-19,26.636915250339744
2025-02-20,24.033813157647327
2025-02-21,27.176785280286698
2025-02-22,22.750170265691718
2025-02-23,26.05974320377022
2025-02-24,24.79475427023699
2025-02-25,24.405189235062757
2025-02-26,20.18718764166608
2025-02-27,21.285502535130536
2025-02-28,24.636965513226553
2025-03-01,14.998380633591431
2025-03-02,16.280904895872347
2025-03-03,14.708913642274528
2025-03-04,17.00546982933811
2025-03-05,12.73200722774431
2025-03-06,15.845360187277553
2025-03-07,10.821231590065114
2025-03-08,12.544324584728443
2025-03-09,12.130753352311244
2025-03-10,14.543469025275968
2025-03-11,9.675693034010708
2025-03-12,9.596781268159612
2025-03-13,7.758836575224505
2025-03-14,12.005880423623745
